Flow Rate (Q) [m^3/s],Pipe Diameter (D) [m],Fluid Velocity (v) [m/s],Pressure Drop (ΔP) [Pa],Fluid Density (ρ) [kg/m^3]
0.08116262258099886,0.48631308249405136,0.6414313355903041,9174.392973699883,1056.812658461715
0.19063571821788408,0.39880977051250155,3.3638468506870116,3156.057016002752,833.6559859980196
0.14907884894416698,0.4727745237038851,1.91460191484347,2304.0538488210077,864.6514856378456
0.12374511199743694,0.452672307692442,2.7885681102411626,5405.0748424980675,1159.4216754108318
0.039643541684062936,0.3190549904649883,4.584049132667419,9870.854086995407,1042.571623863836
0.039638958863878505,0.46484340576040256,1.6218150311699373,3178.4974436035036,803.6788206466518
0.021035886311957897,0.08982162592336378,2.3467231536603337,7049.219926652907,840.5886171464128
0.1745734676972377,0.13819228808861533,3.899980123443719,7854.576537958458,1065.4007076432224
0.12421185223120967,0.07035228000974214,1.529591744712301,3138.737895931597,802.0246335384875
0.14453378978124864,0.19639864884346897,0.8464095942295684,7553.947137506736,864.3232205669995
0.013911053916202464,0.2249047803602669,1.8038815381119562,4310.048194473279,1019.4935157466344
0.19428287191077892,0.17210706429825318,1.2254957926430199,6690.752475342215,1076.7580790770774
0.16816410175208013,0.4229318791183682,4.683639435541579,6701.767396848052,1060.7845038010403
0.05034443102887247,0.2105389970121152,4.136541708039877,5821.972156672827,889.707723784224
0.04454674376934912,0.17642052935932134,3.3503169042969057,1812.6079304896748,1084.8716885390145
0.044846856872152424,0.2942132374212118,4.42157265584473,8517.722460303143,894.89963499872
0.06780602616231217,0.1134159012386432,4.116524346046015,3887.0205847456227,930.1598792637071
0.10970372201012518,0.41098864133931784,1.3395652649871612,2678.666593598688,1098.5965620472098
0.092069553542002,0.08354778965589688,4.5165154932049,1366.9762739928751,1059.853159618886
0.06533353663762796,0.49409912147023277,2.927040088620428,6318.036488694176,1139.6893641976712
0.1262520499972521,0.39751014618349584,4.133480698238282,7098.079256580541,1063.0451569201373
0.036503833523887946,0.1394220566903776,4.53241084965572,1149.2904603507054,1027.3234413341886
0.06550748322169145,0.052484952705621084,1.9310156373733873,5608.837524693528,837.469907131237
0.07960875022580143,0.41695764280467534,0.9952336603745454,3038.4619767814415,947.0863212237734
0.09665329700123683,0.3680858047314277,1.5257082314387376,6806.555113685049,906.0809470726902
0.1591834326646726,0.3780532256184443,2.4219850488181534,2569.2978610449227,897.5958573516334
0.047938018610088354,0.39707165600867556,4.181066446651219,7218.439642922193,1189.2042219009782
0.1077045432985862,0.08332009328034067,4.373287624653545,4480.618116704836,957.2390898667041
0.12255876808378806,0.21130957784492266,0.5312845873903582,9430.56989863061,1156.8186220708453
0.01882557841679957,0.10214107678630838,2.798362861599046,2237.6884973139395,1052.4554503989052
0.1254335218612733,0.4383965416440171,2.3783495141695052,4069.5971594523267,1117.9245214166594
0.04239958350058539,0.3304841570724011,1.4994851471182862,2021.2616911653017,1001.0548372420768
0.02235980266720311,0.19890411118369217,1.0393941530015727,9322.242564507065,1030.7615538505436
0.19028825207813332,0.07860125762871065,2.0192682713163257,8896.05418042883,997.0070775275456
0.1934700862841663,0.189942044772048,4.743093667606336,3321.4746494364003,878.0971951192178
0.16359549614212762,0.1963324949120362,1.9544131940933984,6939.856414307611,1088.980846104602
0.06787661614294042,0.37832278025212884,2.8345577978451475,8354.999801810944,912.3089449763423
0.028557701661212936,0.3369008621098459,3.6635853150283,5996.807304395161,809.7263865725815
0.14000427503730983,0.44924573415934693,2.136333210706823,5766.855205204059,1058.188918362867
0.09362897381052425,0.2624967163228772,4.873019372244323,3176.670618104065,870.8442717628195
0.03318726462050798,0.10381741067223577,4.8310128272395,1837.924910253093,1176.1834337411658
0.10408361292114134,0.37096015425034773,1.6330203312141387,9074.941821579941,1181.571430801035
0.016533819011891496,0.3923532718776038,2.7376182765157346,9103.762514469974,1165.9457560881795
0.1827708763949686,0.3025747389062733,1.8539523941754634,6697.9131154594115,948.0634801021778
0.05916819650400321,0.39693523097955247,1.7817822246986044,4051.2681194383063,806.1826466115469
0.13587923402725657,0.27220801836397585,0.6659912630953976,4142.886171513948,1171.32742503509
0.06922510445698808,0.28522977322189735,3.243039502909536,7533.601109832154,971.2736593269258
0.10881292402378405,0.24239345826134734,2.7620556045298765,9073.992339573193,1186.6619276174679
0.11387495307522313,0.061438607034842836,0.731654380624952,8983.777818386056,1185.4479908357011
0.04512234654985014,0.09855114214698701,1.7539090890647515,8018.879912718615,1141.203782186944
